Total Time step,,
299,,
time,F3,F5
0,0,0
0.3867,57691.8,716936
0.7735,205696,5908600
1.1602,382888,19449000
1.547,505266,43722100
1.9337,479849,79064100
2.3205,220876,123466000
2.7072,-333972,172592000
3.094,-1209700,220135000
3.4807,-2384670,258473000
3.8675,-3787330,279572000
4.2542,-5299930,276016000
4.641,-6768820,242036000
5.0277,-8020350,174423000
5.4144,-8880540,73177700
5.8012,-9195870,-58170000
6.1879,-8852720,-212640000
6.5747,-7793050,-380262000
6.9614,-6024270,-548891000
7.3482,-3621860,-705278000
7.7349,-724187,-836315000
8.1217,2479640,-930285000
8.5084,5767290,-977979000
8.8952,8903980,-973568000
9.2819,11664300,-915140000
9.6687,13852900,-804873000
10.0554,15320900,-648816000
10.4421,15977500,-456323000
10.8289,15794500,-239206000
11.2156,14805000,-10724400
11.6024,13096300,215501000
11.9891,10791200,430919000
12.3759,7961740,626842000
12.7626,4741620,791922000
13.1494,1289440,919464000
13.5361,-2229050,1004460000
13.9229,-5648420,1043740000
14.3096,-8810650,1036120000
14.6964,-11571600,982390000
15.0831,-13807000,885294000
15.4698,-15417300,749420000
15.8566,-16332200,580994000
16.2433,-16512600,387610000
16.6301,-15952000,177889000
17.0168,-14676400,-38894500
17.4036,-12742800,-253221000
17.7903,-10236700,-455736000
18.1771,-7268440,-637639000
18.5638,-3969130,-791031000
18.9506,-485042,-909257000
19.3373,3029090,-987208000
19.7241,6417170,-1021560000
20.1108,9528540,-1010900000
20.4976,12224500,-955799000
20.8843,14384700,-858734000
21.271,15912700,-724038000
21.6578,16740500,-557683000
22.0445,16831700,-367022000
22.4313,16183100,-160458000
22.818,14824200,52929800
23.2048,12815900,263797000
23.5915,10246900,462940000
23.9783,7230390,641686000
24.365,3898640,792250000
24.7518,397516,908071000
25.1385,-3120160,984107000
25.5253,-6501330,1017070000
25.912,-9599050,1005540000
26.2987,-12278500,950049000
26.6855,-14422400,853030000
27.0722,-15936600,718717000
27.459,-16753900,552981000
27.8457,-16837700,363074000
28.2325,-16183700,157317000
28.6192,-14820100,-55279000
29.006,-12806600,-265413000
29.3927,-10231100,-463911000
29.7795,-7206730,-642110000
30.1662,-3866540,-792233000
30.553,-357773,-907719000
30.9397,3165130,-983524000
31.3264,6547560,-1016350000
31.7132,9641680,-1004780000
32.0999,12312700,-949332000
32.4867,14444500,-852433000
32.8734,15944900,-718309000
33.2602,16749000,-552807000
33.6469,16822300,-363144000
34.0337,16162100,-157602000
34.4204,14797400,54835900
34.8072,12787400,264887000
35.1939,10219200,463375000
35.5807,7203890,641633000
35.9674,3872280,791869000
36.3541,369547,907506000
36.7409,-3151160,983477000
37.1276,-6535530,1016450000
37.5144,-9635060,1004990000
37.9011,-12313600,949615000
38.2879,-14453300,852742000
38.6746,-15959900,718609000
39.0614,-16767000,553072000
39.4481,-16839200,363363000
39.8349,-16174000,157778000
40.2216,-14801500,-54687400
40.6084,-12782700,-264749000
40.9951,-10206500,-463240000
41.3818,-7185910,-641503000
41.7686,-3852880,-791757000
42.1553,-352944,-907429000
42.5421,3161370,-983451000
42.9288,6537220,-1016490000
43.3156,9628030,-1005090000
43.7023,12299700,-949765000
44.0891,14436000,-852923000
44.4758,15943500,-718795000
44.8626,16755600,-553236000
45.2493,16835800,-363480000
45.6361,16179500,-157828000
46.0228,14814800,54715300
46.4095,12800900,264844000
46.7963,10225700,463368000
47.183,7201920,641622000
47.5698,3862110,791829000
47.9565,353163,907437000
48.3433,-3170400,983399000
48.73,-6553540,1016400000
49.1168,-9647860,1004980000
49.5035,-12318300,949663000
49.8903,-14449000,852857000
50.277,-15947800,718787000
50.6638,-16750200,553295000
51.0505,-16821900,363594000
51.4372,-16160200,157967000
51.824,-14794500,-54590800
52.2107,-12784400,-264769000
52.5975,-10216800,-463366000
52.9842,-7202600,-641693000
53.371,-3872240,-791956000
53.7577,-370285,-907587000
54.1445,3150380,-983531000
54.5312,6535370,-1016470000
54.918,9635860,-1004980000
55.3047,12315400,-949587000
55.6915,14455900,-852723000
